name,rate,hours
Venus England,33,13
Burke Bond,43,26
Miriam Salas,35,5
Rajah Mcconnell,29,47
Noah Potts,34,43
Alma Rosario,40,8
Herrod Avila,23,46
James Harmon,32,32
Harrison Nicholson,18,30
August Sutton,36,12
Yoko Mcdonald,41,34
Silas Baird,48,19
Deanna Nunez,27,18
Jacob Miles,16,23
Shelby Gilbert,16,29
Amethyst Bradshaw,20,26
Dara Lane,36,39
Lunea Navarro,22,37
Jamalia Mcgowan,11,39
Oliver Franklin,19,14
Philip Dodson,34,13
Quamar Newman,25,49
Genevieve James,27,35
Donna Hess,16,48
Sandra Nielsen,14,8
Zenia Henderson,33,32
Roary Trujillo,31,38
Rahim Conner,38,16
Janna Rivas,36,24
Mona Ashley,38,19
