name,rate,hour,wage
Venus England, 13.0, 33.0, 429.0
Burke Bond, 26.0, 43.0, 1118.0
Miriam Salas, 5.0, 35.0, 175.0
Rajah Mcconnell, 47.0, 29.0, 1464.5
Noah Potts, 43.0, 34.0, 1513.0
Alma Rosario, 8.0, 40.0, 320.0
Herrod Avila, 46.0, 23.0, 1127.0
James Harmon, 32.0, 32.0, 1024.0
Harrison Nicholson, 30.0, 18.0, 540.0
August Sutton, 12.0, 36.0, 432.0
Yoko Mcdonald, 34.0, 41.0, 1394.0
Silas Baird, 19.0, 48.0, 912.0
Deanna Nunez, 18.0, 27.0, 486.0
Jacob Miles, 23.0, 16.0, 368.0
Shelby Gilbert, 29.0, 16.0, 464.0
Amethyst Bradshaw, 26.0, 20.0, 520.0
Dara Lane, 39.0, 36.0, 1404.0
Lunea Navarro, 37.0, 22.0, 814.0
Jamalia Mcgowan, 39.0, 11.0, 429.0
Oliver Franklin, 14.0, 19.0, 266.0
Philip Dodson, 13.0, 34.0, 442.0
Quamar Newman, 49.0, 25.0, 1337.5
Genevieve James, 35.0, 27.0, 945.0
Donna Hess, 48.0, 16.0, 832.0
Sandra Nielsen, 8.0, 14.0, 112.0
Zenia Henderson, 32.0, 33.0, 1056.0
Roary Trujillo, 38.0, 31.0, 1178.0
Rahim Conner, 16.0, 38.0, 608.0
Janna Rivas, 24.0, 36.0, 864.0
Mona Ashley, 19.0, 38.0, 722.0
